name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2016-08-30,32.8,26.2,28.9,41.2,26.2,34,25.6,82.9,3.173,100,12.5,rain,0,0,31.7,16.2,170.3,1007.8,55.7,9.8,188.3,16.2,6,,2016-08-30T06:06:16,2016-08-30T18:30:40,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-31,33.5,25.2,29.1,41,25.2,34.2,25.1,80.1,5.124,100,12.5,rain,0,0,51.1,16.6,222.9,1009.6,55,9.6,155.6,13.5,6,,2016-08-31T06:06:19,2016-08-31T18:30:00,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-01,33.5,27,29.3,39.9,30,34.1,24.4,75.7,4.353,100,12.5,rain,0,0,44.3,20.4,232.4,1009.1,52.1,9.6,231.3,19.9,9,,2016-09-01T06:06:22,2016-09-01T18:29:19,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-02,33.6,27.2,29.6,41.4,30.4,33.8,23.4,70,8.023,100,8.33,rain,0,0,31.7,24.5,251,1007.7,51,9.6,244.1,21,8,,2016-09-02T06:06:25,2016-09-02T18:28:37,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-03,33.5,26.6,29.9,39.7,26.6,33.9,23.2,68.6,0,0,0,,0,0,42.5,21.9,237.1,1007.9,47.7,9.7,265.4,22.9,9,,2016-09-03T06:06:28,2016-09-03T18:27:56,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-04,32.9,27,29.7,39.4,30.3,34.1,23.7,70.9,0.847,100,12.5,rain,0,0,44.6,31,256.5,1008.8,55.5,9.5,240.7,20.5,8,,2016-09-04T06:06:30,2016-09-04T18:27:14,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-05,33.7,27,30,39.3,29.4,34.3,23.3,68.1,0.001,100,4.17,rain,0,0,41,21.3,264.4,1007.9,58.1,9.6,239.6,20.8,8,,2016-09-05T06:06:32,2016-09-05T18:26:32,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-06,34.4,25.7,29.7,41.8,25.7,33.3,23.4,70.1,19.441,100,12.5,rain,0,0,48.2,18,240.4,1007,51.8,9.1,230.5,19.7,8,,2016-09-06T06:06:34,2016-09-06T18:25:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-07,33,25.2,28.1,41.3,25.2,31.6,25,84.3,26.863,100,20.83,rain,0,0,38.5,25.9,163.5,1006.6,65,9.2,161.9,14,5,,2016-09-07T06:06:36,2016-09-07T18:25:06,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-08,32.8,25.2,28.8,39.5,25.2,32.1,24.5,79.2,13.031,100,12.5,rain,0,0,37.8,19.4,209.4,1008,59.1,9,106.5,9.3,4,,2016-09-08T06:06:38,2016-09-08T18:24:23,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-09,32.7,25.6,29.3,40.4,25.6,33.2,24.4,75.8,0.004,100,4.17,rain,0,0,32.8,16.6,222.1,1008.8,48.5,9.5,180.4,15.5,6,,2016-09-09T06:06:40,2016-09-09T18:23:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-10,33.9,27,30.1,41,29.5,34.9,23.8,69.7,0.044,100,4.17,rain,0,0,31.3,19.1,251.3,1007.5,44.1,9.7,130.9,11.5,5,,2016-09-10T06:06:42,2016-09-10T18:22:57,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-09-11,33,26,29.5,39.8,26,34,23.8,71.9,0.723,100,4.17,rain,0,0,40.7,20,266,1006.4,53,9.6,162.2,14,7,,2016-09-11T06:06:43,2016-09-11T18:22:13,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
